Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Kottavakkam Chennai,2 BHK Independent House for sale in Kottavakkam Chennai,90,Kottavakkam Chennai,1292,6960,3,1,2 BHK,Chennai
VGN Imperia Phase 3,3 BHK Flat for sale in Thiruverkkadu Chennai,54,Arjunamedu ThiruverkkaduChennai,1096,4930,3,0,3 BHK,Chennai
Bharathi Nagar AyanavaramChennai,4 BHK Independent House for sale in Ayanavaram Chennai,240,Bharathi Nagar AyanavaramChennai,2300,10430,4,1,4 BHK,Chennai
LIVEGREEN CONSTRUCTIONSSembakkam Chennai,1 BHK Flat for sale in Sembakkam Chennai,29,LIVEGREEN CONSTRUCTIONSSembakkam Chennai,586,4950,2,0,1 BHK,Chennai
Alliance Galleria Residences,2 BHK Flat for sale in Old Pallavaram Chennai,90,Arulmurugan Nagar Old PallavaramChennai,1112,8090,3,0,2 BHK,Chennai
Veppampattu Chennai,1 BHK Independent House for sale in Veppampattu Chennai,24,Veppampattu Chennai,560,4430,2,1,1 BHK,Chennai
Shankar Nagar PammalChennai,2 BHK Flat for sale in Pammal Chennai,37,Shankar Nagar PammalChennai,856,4320,3,1,2 BHK,Chennai
Naveen vanagaramKanchuma Puram Vanagaram Chennai,2 BHK Flat for sale in Vanagaram  Chennai,65,Naveen vanagaramKanchuma Puram Vanagaram Chennai,1079,6020,3,1,2 BHK,Chennai
LAND MARVEL KARPAGAMBALJeth Nagar Chennai,2 BHK Flat for sale in Jeth Nagar Chennai,120,LAND MARVEL KARPAGAMBALJeth Nagar Chennai,1100,10910,3,1,2 BHK,Chennai
Krishna Apartment,3 BHK Flat for sale in Madambakkam Chennai,56,Madambakkam Chennai,1432,3910,3,1,3 BHK,Chennai
Raghavendra Aishwaryam Flats,2 BHK Flat for sale in Urapakkam Chennai,45,Urapakkam Chennai,932,4830,3,1,2 BHK,Chennai
Madambakkam Chennai,3 BHK Independent House for sale in Madambakkam Chennai,45,Madambakkam Chennai,1500,3000,3,1,3 BHK,Chennai
Tambaram Mount West TambaramChennai,2 BHK Independent House for sale in West Tambaram Chennai,75,Tambaram Mount West TambaramChennai,1200,6250,3,1,2 BHK,Chennai
Building velachery Anna Nagar Extension VelacheryChennai,1 BHK Flat for sale in Velachery Chennai,32,Building velachery Anna Nagar Extension VelacheryChennai,590,5420,2,1,1 BHK,Chennai
Shri Vihar Sembakkam Chennai,4 BHK Flat for sale in Sembakkam Chennai,85,Shri Vihar Sembakkam Chennai,1570,5410,3,1,4 BHK,Chennai
Indra Enclave,2 BHK Flat for sale in Medavakkam Chennai,36,Krishnaveni Nagar MedavakkamChennai,808,4460,3,0,2 BHK,Chennai
Ma. Po. Si. Nagar ThiruvallurChennai,3 BHK Independent House for sale in Thiruvallur Chennai,50,Ma. Po. Si. Nagar ThiruvallurChennai,1582,3160,3,1,3 BHK,Chennai
TNHB Colony VillivakkamChennai,4 BHK Independent House for sale in Villivakkam Chennai,225,TNHB Colony VillivakkamChennai,2400,9380,4,1,4 BHK,Chennai
AnchorageMandavelipakkam Raja Annamalai PuramChennai,3 BHK Flat for sale in Raja Annamalai Puram Chennai,160,AnchorageMandavelipakkam Raja Annamalai PuramChennai,1350,11850,3,1,3 BHK,Chennai
Kandasamy Nagar PorurChennai,3 BHK Independent House for sale in Porur Chennai,65,Kandasamy Nagar PorurChennai,1400,4640,3,1,3 BHK,Chennai
Viswas CastleUrapakkam Chennai,2 BHK Flat for sale in Urapakkam Chennai,32,Viswas CastleUrapakkam Chennai,950,3370,3,0,2 BHK,Chennai
Puzhal Chennai,2 BHK Independent House for sale in Puzhal Chennai,55,Puzhal Chennai,850,6470,3,1,2 BHK,Chennai
Venkateshwara Nagar RamapuramChennai,2 BHK Flat for sale in Ramapuram Chennai,54,Venkateshwara Nagar RamapuramChennai,860,6280,3,0,2 BHK,Chennai
Velachery Chennai,3 BHK Flat for sale in Velachery Chennai,79,Velachery Chennai,1300,6080,3,1,3 BHK,Chennai
Jayam Villa,2 BHK Flat for sale in Raja Annamalai Puram Chennai,85,Ramakrishna Nagar Raja Annamalai PuramChennai,780,10900,2,0,2 BHK,Chennai
Kallikuppam AmbatturChennai,2 BHK Independent House for sale in Ambattur Chennai,67,Kallikuppam AmbatturChennai,1100,6090,3,0,2 BHK,Chennai
AGS Colony AdambakkamChennai,3 BHK Flat for sale in Adambakkam Chennai,99,AGS Colony AdambakkamChennai,1193,8300,3,0,3 BHK,Chennai
Lakshmipuram KolathurChennai,3 BHK Independent House for sale in Kolathur Chennai,120,Lakshmipuram KolathurChennai,1350,8890,3,0,3 BHK,Chennai
Veera Vanchinathan Nagar PerungudiChennai,2 BHK Flat for sale in Perungudi Chennai,75,Veera Vanchinathan Nagar PerungudiChennai,1200,6250,3,1,2 BHK,Chennai
AkshayaPeriyar Nagar PeramburChennai,2 BHK Flat for sale in Perambur Chennai,63,AkshayaPeriyar Nagar PeramburChennai,946,6660,3,0,2 BHK,Chennai
Ben Le Orchard Apartments,3 BHK Flat for sale in Anna Nagar West Chennai,88,Thirumangalam Anna Nagar WestChennai,1065,8260,3,1,3 BHK,Chennai
Techcons Blue Alpha,1 BHK Flat for sale in Mudichur Chennai,26,Mudichur Chennai,580,4630,2,1,1 BHK,Chennai
Ramaniyam Gauravv Sholinganallur Chennai,2 BHK Flat for sale in Sholinganallur Chennai,64,Ramaniyam Gauravv Sholinganallur Chennai,1160,5590,3,0,2 BHK,Chennai
BSCPL Bollineni Iris,2 BHK Flat for sale in Perumbakkam Chennai,58,Arasankazhani PerumbakkamChennai,1055,5500,3,1,2 BHK,Chennai
Dharan Singh Colony VadapalaniChennai,4 BHK Independent House for sale in Vadapalani Chennai,275,Dharan Singh Colony VadapalaniChennai,1940,14180,3,1,4 BHK,Chennai
Amaar Ultra Amaar Avenue Phase 2,2 BHK Flat for sale in Choolaimedu Chennai,90,Padmanabha Nagar ChoolaimeduChennai,938,9590,3,1,2 BHK,Chennai
Vasantham,3 BHK Flat for sale in Sembakkam Chennai,115,Maruthi Nagar SembakkamChennai,1712,6720,3,1,3 BHK,Chennai
Padupakkam TriplicaneChennai,4 BHK Independent House for sale in Triplicane Chennai,239,Padupakkam TriplicaneChennai,1328,18000,3,1,4 BHK,Chennai
TVH Svaya,2 BHK Flat for sale in Pennalur Chennai,30,Pennalur Chennai,1085,2760,3,1,2 BHK,Chennai
Singaperumal Koil Chennai,1 BHK Independent House for sale in Singaperumal Koil Chennai,27,Singaperumal Koil Chennai,880,3100,3,1,1 BHK,Chennai
Hiranandani Parks Apartment,3 BHK Flat for sale in Oragadam Sriperambattur Chennai,70,Oragadam Sriperambattur Chennai,1450,4830,3,1,3 BHK,Chennai
Alliance Jasmine Springs,1 BHK Flat for sale in Kelambakkam Chennai,28,Kelambakkam Chennai,462,6060,2,0,1 BHK,Chennai
RC NAVARATHNAM Sembiyan PeramburChennai,2 BHK Flat for sale in Perambur Chennai,93,RC NAVARATHNAM Sembiyan PeramburChennai,900,10330,3,0,2 BHK,Chennai
Plaza Pristine Acres,2 BHK Flat for sale in Perumbakkam Chennai,45,Nesamani Nagar PerumbakkamChennai,904,4980,3,0,2 BHK,Chennai
Swathy Ayyappa Flats,2 BHK Flat for sale in Kilpauk Chennai,65,Kumaran Nagar KilpaukChennai,940,6910,3,0,2 BHK,Chennai
Tirupathi Nagar ValasaravakkamChennai,5 BHK Independent House for sale in Valasaravakkam Chennai,513,Tirupathi Nagar ValasaravakkamChennai,5400,9500,5,1,5 BHK,Chennai
Narayanan Nagar,2 BHK Flat for sale in Ambattur Chennai,43,Ambattur Chennai,795,5500,2,1,2 BHK,Chennai
Royal,2 BHK Flat for sale in Kolathur Chennai,69,Anthony Nagar KolathurChennai,990,6970,3,1,2 BHK,Chennai
Amarprakash Temple Waves,2 BHK Flat for sale in Thandalam Chennai,45,Thandalam Chennai,630,7140,2,0,2 BHK,Chennai
Golden Jubilee Flats,3 BHK Flat for sale in Anna Nagar West Chennai,100,Thirumangalam Anna Nagar WestChennai,1100,9090,3,1,3 BHK,Chennai
Madambakkam,2 BHK Flat for sale in Madambakkam Chennai,29,Madambakkam Chennai,598,4930,2,1,2 BHK,Chennai
Nerkundram MogappairChennai,2 BHK Flat for sale in Mogappair Chennai,72,Nerkundram MogappairChennai,918,7840,3,0,2 BHK,Chennai
Ambattur Chennai,4 BHK Independent House for sale in Ambattur Chennai,378,Ambattur Chennai,3300,11450,1,1,4 BHK,Chennai
