Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Ponneri Chennai,1 BHK Independent House for sale in Ponneri Chennai,60,Ponneri Chennai,1415,4240,3,1,1 BHK,Chennai
Govardhan villa Annanur CholambeduChennai,2 BHK Flat for sale in Cholambedu Chennai,31,Govardhan villa Annanur CholambeduChennai,835,3710,3,0,2 BHK,Chennai
Ayyappa Nagar PallavaramChennai,4 BHK Independent House for sale in Pallavaram Chennai,280,Ayyappa Nagar PallavaramChennai,4600,6090,5,1,4 BHK,Chennai
Vyasarpadi Industrial Estate VyasarpadiChennai,6 BHK Independent House for sale in Vyasarpadi Chennai,200,Vyasarpadi Industrial Estate VyasarpadiChennai,2800,7140,4,1,6 BHK,Chennai
Alex Nagar Colony Madhavaram Milk ColonyChennai,4 BHK Independent House for sale in Madhavaram Milk Colony Chennai,250,Alex Nagar Colony Madhavaram Milk ColonyChennai,2000,12500,3,1,4 BHK,Chennai
Tiruninravur Nemilicheri Chennai,1 RK Flat for sale in Nemilicheri Chennai,18,Tiruninravur Nemilicheri Chennai,512,3520,2,0,1 RK,Chennai
Iyyapa Nagar Chennai,3 BHK Independent House for sale in Iyyapa Nagar Chennai,61,Iyyapa Nagar Chennai,1577,3900,3,1,3 BHK,Chennai
Adhanur Chennai,1 BHK Flat for sale in Adhanur Chennai,20,Adhanur Chennai,575,3560,2,1,1 BHK,Chennai
WATER FRONT THE BLUE BAY PARADISEKovalam Chennai,3 BHK Villa for sale in Kovalam Chennai,130,WATER FRONT THE BLUE BAY PARADISEKovalam Chennai,2290,5680,4,1,3 BHK,Chennai
Lalitha Nagar ThiruvanmiyurChennai,2 BHK Independent House for sale in Thiruvanmiyur Chennai,135,Lalitha Nagar ThiruvanmiyurChennai,640,21090,2,0,2 BHK,Chennai
Chinnaekkadu ThiruvallurChennai,2 BHK Independent House for sale in Thiruvallur Chennai,50,Chinnaekkadu ThiruvallurChennai,1000,5000,3,0,2 BHK,Chennai
Salavankuppam Chennai,2 BHK Flat for sale in Salavankuppam Chennai,18,Salavankuppam Chennai,540,3330,2,0,2 BHK,Chennai
Thodukadu Chennai,1 BHK Independent House for sale in Thodukadu Chennai,23,Thodukadu Chennai,600,3830,2,1,1 BHK,Chennai
Mahindra World City Chennai,2 BHK Independent House for sale in Mahindra World City Chennai,35,Mahindra World City Chennai,920,3800,3,1,2 BHK,Chennai
Madhavaram Milk Colony Chennai,2 BHK Independent House for sale in Madhavaram Milk Colony Chennai,95,Madhavaram Milk Colony Chennai,1800,5280,3,1,2 BHK,Chennai
Amarprakash Temple Waves,1.5 BHK Flat for sale in Kanchipuram Chennai,25,Kanchipuram Chennai,606,4130,2,1,1.5 BHK,Chennai
Water front villa Kovalam Chennai,3 BHK Villa for sale in Kovalam Chennai,100,Water front villa Kovalam Chennai,2290,4370,4,1,3 BHK,Chennai
Indira Nagar AdyarChennai,10 BHK Independent House for sale in Adyar Chennai,170,Indira Nagar AdyarChennai,1400,12140,3,1,10 BHK,Chennai
MGR Nagar VelacheryChennai,2 BHK Independent House for sale in Velachery Chennai,150,MGR Nagar VelacheryChennai,1200,12500,3,1,2 BHK,Chennai
Ganesh Puram VyasarpadiChennai,5 BHK Independent House for sale in Vyasarpadi Chennai,150,Ganesh Puram VyasarpadiChennai,2400,6250,4,1,5 BHK,Chennai
Grand celestia,4 BHK Flat for sale in Kelambakkam Chennai,91,Kelambakkam Chennai,2100,4330,4,1,4 BHK,Chennai
Irandam kattalai Irandankattalai Chennai,1 BHK Flat for sale in Irandankattalai Chennai,38,Irandam kattalai Irandankattalai Chennai,900,4220,3,1,1 BHK,Chennai
POONJERI APPARTMENTSalavankuppam Chennai,2 BHK Flat for sale in Salavankuppam Chennai,18,POONJERI APPARTMENTSalavankuppam Chennai,540,3330,2,1,2 BHK,Chennai
Avadi Chennai,5+ BHK Independent House for sale in Avadi Chennai,110,Avadi Chennai,1135,9690,3,0,5+ BHK,Chennai
City Square Enterprises Waterfront Kovalam ChennaiThiruvidandhai Chennai,3 BHK Villa for sale in Thiruvidandhai Chennai,103,City Square Enterprises Waterfront Kovalam ChennaiThiruvidandhai Chennai,2290,4500,4,1,3 BHK,Chennai
Unamancheri Kolapakkam Kolapakkam - VandalurChennai,3 BHK Independent House for sale in Kolapakkam - Vandalur Chennai,76,Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1650,4610,3,1,3 BHK,Chennai
Jaganathapuram SikkarayapuramChennai,4 BHK Independent House for sale in Sikkarayapuram Chennai,140,Jaganathapuram SikkarayapuramChennai,2200,6360,4,1,4 BHK,Chennai
UV Tambaram,2 BHK Villa for sale in West Tambaram Chennai,300,Mullai Nagar West TambaramChennai,4500,6670,5,1,2 BHK,Chennai
Thiruvalluvar Nagar Kodungaiyur EastChennai,2 BHK Independent House for sale in Kodungaiyur East Chennai,400,Thiruvalluvar Nagar Kodungaiyur EastChennai,4000,10000,4,1,2 BHK,Chennai
Swarnambigai Nagar VirugambakkamChennai,3 BHK Independent House for sale in Virugambakkam Chennai,830,Swarnambigai Nagar VirugambakkamChennai,1300,63850,3,0,3 BHK,Chennai
Kundrathur Chennai,4 BHK Independent House for sale in Kundrathur Chennai,130,Kundrathur Chennai,3000,4330,3,1,4 BHK,Chennai
Maraimalai Nagar Part Chennai,2 BHK Independent House for sale in Maraimalai Nagar Part Chennai,39,Maraimalai Nagar Part Chennai,805,4840,3,1,2 BHK,Chennai
Maraimalai Nagar Chennai,3 BHK Villa for sale in Maraimalai Nagar Chennai,95,Maraimalai Nagar Chennai,2000,4750,2,1,3 BHK,Chennai
Shantha Flats,1 BHK Flat for sale in Poonamallee Chennai,20,Poonamallee Chennai,460,4460,2,0,1 BHK,Chennai
Korattur Tank KoratturChennai,6 BHK Independent House for sale in Korattur Chennai,100,Korattur Tank KoratturChennai,2400,4170,4,1,6 BHK,Chennai
GK AVENUEMaraimalai Nagar Chennai,2 BHK Independent House for sale in Maraimalai Nagar Chennai,38,GK AVENUEMaraimalai Nagar Chennai,850,4470,3,1,2 BHK,Chennai
SHANKAR AVM AVENUESwarnambigai Nagar VirugambakkamChennai,2 BHK Flat for sale in Virugambakkam Chennai,50,SHANKAR AVM AVENUESwarnambigai Nagar VirugambakkamChennai,700,7140,2,1,2 BHK,Chennai
Anthony Nagar KolathurChennai,9 BHK Independent House for sale in Kolathur Chennai,450,Anthony Nagar KolathurChennai,6000,7500,1,1,9 BHK,Chennai
Arjunamedu ThiruverkkaduChennai,4 BHK Independent House for sale in Thiruverkkadu Chennai,99,Arjunamedu ThiruverkkaduChennai,2750,3640,4,1,4 BHK,Chennai
Grand Lyon Red HillsChennai,9 BHK Independent House for sale in Red Hills Chennai,135,Grand Lyon Red HillsChennai,3758,3590,6,1,9 BHK,Chennai
aulia Jamaliya Nagar PeramburChennai,2 BHK Flat for sale in Perambur Chennai,33,aulia Jamaliya Nagar PeramburChennai,750,4500,2,0,2 BHK,Chennai
Manjula Apartments,1 RK Flat for sale in West Mambalam Chennai,35,Vellai Thottam West MambalamChennai,630,5550,2,0,1 RK,Chennai
Maraimalai Nagar Chennai,2 BHK Independent House for sale in Maraimalai Nagar Chennai,37,Maraimalai Nagar Chennai,925,4000,3,0,2 BHK,Chennai
Tulasingapuram NandambakkamChennai,6 BHK Independent House for sale in Nandambakkam Chennai,225,Tulasingapuram NandambakkamChennai,1800,12500,3,1,6 BHK,Chennai
Maraimalai Nagar Chennai,2 BHK Independent House for sale in Maraimalai Nagar Chennai,37,Maraimalai Nagar Chennai,800,4630,1,1,2 BHK,Chennai
Guru Swamy Nagar AnakaputhurChennai,3 BHK Independent House for sale in Anakaputhur Chennai,140,Guru Swamy Nagar AnakaputhurChennai,1500,9330,3,0,3 BHK,Chennai
Engineers Park City Phase II,2 BHK Flat for sale in Umayalparamancheri Chennai,40,Umayalparamancheri Chennai,1224,3270,3,0,2 BHK,Chennai
Guru Swamy Nagar AnakaputhurChennai,3 BHK Independent House for sale in Anakaputhur Chennai,140,Guru Swamy Nagar AnakaputhurChennai,2340,5980,4,1,3 BHK,Chennai
Mahindra Iris Court,2 BHK Flat for sale in Chettipunyam Chennai,58,Chettipunyam Chennai,886,6550,3,0,2 BHK,Chennai
Four Square Hampton Square by Four Square Developers,1 BHK Flat for sale in Kolapakkam - Vandalur Chennai,19,Unamancheri Kolapakkam Kolapakkam - VandalurChennai,485,4020,2,1,1 BHK,Chennai
Kathirvedu PuzhalChennai,3 BHK Villa for sale in Puzhal Chennai,115,Kathirvedu PuzhalChennai,3300,3480,5,1,3 BHK,Chennai
Srinivasa NagarPoonamallee Chennai,1 RK Independent House for sale in Poonamallee Chennai,38,Srinivasa NagarPoonamallee Chennai,600,6330,2,0,1 RK,Chennai
VenkateshwarpuramOragadam Ambattur Chennai,2 BHK Independent House for sale in Oragadam Ambattur Chennai,80,VenkateshwarpuramOragadam Ambattur Chennai,1146,6980,3,0,2 BHK,Chennai
Suriyammapet SaidapetChennai,3 BHK Villa for sale in Saidapet Chennai,650,Suriyammapet SaidapetChennai,3200,20310,3,1,3 BHK,Chennai
Seetharam Nagar Kodungaiyur WestChennai,5 BHK Independent House for sale in Kodungaiyur West Chennai,250,Seetharam Nagar Kodungaiyur WestChennai,2200,11360,4,1,5 BHK,Chennai
Maraimalai Nagar Chennai,3 BHK Independent House for sale in Maraimalai Nagar Chennai,85,Maraimalai Nagar Chennai,1500,5670,3,1,3 BHK,Chennai
Pleasant home GuduvancheryKannivakkam Chennai,3 BHK Independent House for sale in Kannivakkam Chennai,51,Pleasant home GuduvancheryKannivakkam Chennai,1447,3520,3,1,3 BHK,Chennai
Arjunamedu ThiruverkkaduChennai,6 BHK Independent House for sale in Thiruverkkadu Chennai,165,Arjunamedu ThiruverkkaduChennai,5000,3300,5,1,6 BHK,Chennai
Godrej Palm Grove,2 BHK Flat for sale in Chembarambakkam Chennai,62,Chembarambakkam Chennai,1250,4960,3,0,2 BHK,Chennai
Hiranandani Emerald,3 BHK Flat for sale in Hirco Palace Gardens Chennai,105,Hirco Palace Gardens Chennai,2256,4650,4,1,3 BHK,Chennai
Aavasa paCivil Aviation Colony NanganallurChennai,2 BHK Flat for sale in Nanganallur Chennai,125,Aavasa paCivil Aviation Colony NanganallurChennai,989,12640,3,0,2 BHK,Chennai
Maraimalai Nagar Chennai,7 BHK Independent House for sale in Maraimalai Nagar Chennai,250,Maraimalai Nagar Chennai,6000,4170,4,1,7 BHK,Chennai
Hiranandani Emerald,4 BHK Flat for sale in Hirco Palace Gardens Chennai,130,Hirco Palace Gardens Chennai,2804,4640,4,1,4 BHK,Chennai
Hiranandani Emerald,3 BHK Flat for sale in Hirco Palace Gardens Chennai,95,Hirco Palace Gardens Chennai,2256,4210,4,1,3 BHK,Chennai
Adhanur Chennai,1 BHK Flat for sale in Adhanur Chennai,27,Adhanur Chennai,627,4310,2,1,1 BHK,Chennai
Ottiambakkam Chennai,3 BHK Villa for sale in Ottiambakkam Chennai,12,Ottiambakkam Chennai,1000,1200,3,1,3 BHK,Chennai
VGN Platina,2 BHK Flat for sale in Ayappakkam Chennai,38,MGR Nagar AyappakkamChennai,935,4060,3,0,2 BHK,Chennai
Maraimalai Nagar Chennai,2 BHK Independent House for sale in Maraimalai Nagar Chennai,45,Maraimalai Nagar Chennai,920,4890,3,0,2 BHK,Chennai
Maraimalai Nagar Part Chennai,5 BHK Independent House for sale in Maraimalai Nagar Part Chennai,120,Maraimalai Nagar Part Chennai,958,12530,3,1,5 BHK,Chennai
Chikkarayapuram Chennai,2 BHK Independent House for sale in Chikkarayapuram Chennai,53,Chikkarayapuram Chennai,1000,5300,3,0,2 BHK,Chennai
Panneer Nagar MogappairChennai,3 BHK Independent House for sale in Mogappair Chennai,300,Panneer Nagar MogappairChennai,2270,13210,4,1,3 BHK,Chennai
Nayapakkam Chennai,3 BHK Villa for sale in Nayapakkam Chennai,57,Nayapakkam Chennai,1550,3680,3,1,3 BHK,Chennai
Pari Nagar PallikaranaiChennai,4 BHK Independent House for sale in Pallikaranai Chennai,250,Pari Nagar PallikaranaiChennai,5100,4900,5,1,4 BHK,Chennai
Flats,7 BHK Flat for sale in Kundrathur Chennai,130,Kundrathur Chennai,3500,3710,5,1,7 BHK,Chennai
Iyyapa Nagar Chennai,2 BHK Independent House for sale in Iyyapa Nagar Chennai,42,Iyyapa Nagar Chennai,1150,3650,3,1,2 BHK,Chennai
ABS Saibaba Nagar,2 BHK Flat for sale in Pallikaranai Chennai,38,Saibaba Nagar PallikaranaiChennai,750,5070,2,1,2 BHK,Chennai
Muthu GardensKumudam Nagar MugalivakkamChennai,1 BHK Flat for sale in Mugalivakkam Chennai,39,Muthu GardensKumudam Nagar MugalivakkamChennai,735,5310,2,1,1 BHK,Chennai
Vandalur Chennai,4 BHK Independent House for sale in Vandalur Chennai,110,Vandalur Chennai,2392,4600,4,1,4 BHK,Chennai
Mahabalipuram Chennai,2 BHK Independent House for sale in  Mahabalipuram Chennai,38,Mahabalipuram Chennai,810,4690,3,1,2 BHK,Chennai
Arun Excello Temple Green Heights,2 BHK Flat for sale in Oragadam Sriperambattur Chennai,27,Oragadam Sriperambattur Chennai,875,3080,3,0,2 BHK,Chennai
Moolakazhani Chennai,3 BHK Flat for sale in Moolakazhani Chennai,47,Moolakazhani Chennai,1550,3030,3,0,3 BHK,Chennai
Golden Boulevard Villa,3 BHK Villa for sale in Singaperumal Koil Chennai,54,Singaperumal Koil Chennai,1240,4390,3,1,3 BHK,Chennai
Prasid homesNemilicheri Chennai,3 BHK Independent House for sale in Nemilicheri Chennai,52,Prasid homesNemilicheri Chennai,1200,4330,3,1,3 BHK,Chennai
Jagannatha Nagar ArumbakkamChennai,8 BHK Independent House for sale in Arumbakkam Chennai,450,Jagannatha Nagar ArumbakkamChennai,5400,8330,5,1,8 BHK,Chennai
Victory Valasaravakkam,1 RK Flat for sale in Virugambakkam Chennai,53,Saradha Nagar VirugambakkamChennai,805,6580,3,0,1 RK,Chennai
Dev homesAnnanur CholambeduChennai,2 BHK Flat for sale in Cholambedu Chennai,33,Dev homesAnnanur CholambeduChennai,903,3760,3,1,2 BHK,Chennai
Mehta Nagar ThiruneermalaiChennai,2 BHK Independent House for sale in Thiruneermalai Chennai,70,Mehta Nagar ThiruneermalaiChennai,1013,6910,3,0,2 BHK,Chennai
Perumalpattu Chennai,1 BHK Independent House for sale in Perumalpattu Chennai,27,Perumalpattu Chennai,600,4500,2,0,1 BHK,Chennai
Avenue Avenue Majestic,2 BHK Flat for sale in Vyasarpadi Chennai,42,Mahakavi Bharathiyar Nagar VyasarpadiChennai,641,6550,2,1,2 BHK,Chennai
Madambakkam Chennai,4 BHK Independent House for sale in Madambakkam Chennai,125,Madambakkam Chennai,2400,5210,4,1,4 BHK,Chennai
Gomathipuram ThirunindravurChennai,1 BHK Independent House for sale in Thirunindravur Chennai,50,Gomathipuram ThirunindravurChennai,800,6250,5,0,1 BHK,Chennai
South kolathur KovilambakkamChennai,3 BHK Independent House for sale in Kovilambakkam Chennai,135,South kolathur KovilambakkamChennai,2500,5400,4,1,3 BHK,Chennai
Azhakapuri Nagar RamapuramChennai,6 BHK Independent House for sale in Ramapuram Chennai,450,Azhakapuri Nagar RamapuramChennai,3300,13640,1,1,6 BHK,Chennai
Arun Excello Madhulika Apartments Padappai Chennai,2 BHK Flat for sale in Padappai Chennai,20,Arun Excello Madhulika Apartments Padappai Chennai,695,2880,2,0,2 BHK,Chennai
Vijay Sri Jayendra Apartment by Vijay Shanthi Builders,2 BHK Flat for sale in Ponmar Chennai,68,Ponmar Chennai,966,7040,3,1,2 BHK,Chennai
Lancor Townsville,2 BHK Flat for sale in Ayakolathur Chennai,30,Ayakolathur Chennai,906,3310,3,1,2 BHK,Chennai
Kathirvedu PuzhalChennai,1 BHK Independent House for sale in Puzhal Chennai,60,Kathirvedu PuzhalChennai,950,6320,3,1,1 BHK,Chennai
Vijay Sri Jayendra Apartment by Vijay Shanthi Builders,3 BHK Villa for sale in Ponmar Chennai,120,Ponmar Chennai,1800,6670,3,1,3 BHK,Chennai
MERINAA Padur Chennai,2 BHK Flat for sale in Padur Chennai,30,MERINAA Padur Chennai,1200,2540,3,1,2 BHK,Chennai
ProvidentCosmo City,3 BHK Flat for sale in Pudupakkam Chennai,30,Pudupakkam Chennai,986,3040,3,0,3 BHK,Chennai
Shree Kumaran Nagar KovurChennai,5 BHK Independent House for sale in Kovur Chennai,90,Shree Kumaran Nagar KovurChennai,2500,3600,4,1,5 BHK,Chennai
Othivakkam R.F. Chennai,2 BHK Independent House for sale in Othivakkam R.F. Chennai,75,Othivakkam R.F. Chennai,1350,5550,3,1,2 BHK,Chennai
ram builders,1 RK Flat for sale in Palavakkam Chennai,32,VGP Layout PalavakkamChennai,680,4710,2,0,1 RK,Chennai
Jayalalitha Nagar MogappairChennai,3 BHK Independent House for sale in Mogappair Chennai,500,Jayalalitha Nagar MogappairChennai,3000,16670,6,1,3 BHK,Chennai
Bala Rukmani FlatsVelachery Chennai,2 BHK Flat for sale in Velachery Chennai,64,Bala Rukmani FlatsVelachery Chennai,985,6500,3,1,2 BHK,Chennai
Arun Excello Atana,2 BHK Flat for sale in Oragadam Sriperambattur Chennai,45,Oragadam Sriperambattur Chennai,760,5920,2,0,2 BHK,Chennai
Sakthi Avenue GerugambakkamChennai,4 BHK Independent House for sale in Gerugambakkam Chennai,140,Sakthi Avenue GerugambakkamChennai,2400,5830,4,1,4 BHK,Chennai
CRK GardensPrem Nagar PozhichalurChennai,1 BHK Flat for sale in Pozhichalur Chennai,17,CRK GardensPrem Nagar PozhichalurChennai,363,4680,1,1,1 BHK,Chennai
Vallakkottai Chennai,3 BHK Villa for sale in Vallakkottai Chennai,99,Vallakkottai Chennai,1497,6610,3,0,3 BHK,Chennai
Shree Ram Park by Shree Ram Infra,1 BHK Flat for sale in Perungalathur Chennai,55,Perungalathur Chennai,500,11000,2,0,1 BHK,Chennai
Kanappasamy Nagar PuzhalChennai,5 BHK Villa for sale in Puzhal Chennai,170,Kanappasamy Nagar PuzhalChennai,2800,6070,4,1,5 BHK,Chennai
Ayapakkam Chennai,1 BHK Independent House for sale in Ayapakkam Chennai,35,Ayapakkam Chennai,430,8140,2,1,1 BHK,Chennai
Mudichur Chennai,3 BHK Independent House for sale in Mudichur Chennai,85,Mudichur Chennai,2040,4170,4,1,3 BHK,Chennai
Abiramapuram Chennai,4 BHK Flat for sale in Abiramapuram Chennai,220,Abiramapuram Chennai,2000,11000,1,1,4 BHK,Chennai
Choolai Chennai,7 BHK Independent House for sale in Choolai Chennai,200,Choolai Chennai,1550,12900,3,1,7 BHK,Chennai
TVH Svaya,1 BHK Flat for sale in Pennalur Chennai,23,Pennalur Chennai,555,4140,2,1,1 BHK,Chennai
Green Wood,3 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,59,Mambakkam-Chengalpattu  Chennai,1150,5130,3,1,3 BHK,Chennai
Green Wood,3 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,59,Mambakkam-Chengalpattu  Chennai,1150,5130,3,0,3 BHK,Chennai
Green Wood,3 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,59,Mambakkam-Chengalpattu  Chennai,1150,5130,3,1,3 BHK,Chennai
ECO TREE Mambakkam-Chengalpattu  Chennai,3 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,53,ECO TREE Mambakkam-Chengalpattu  Chennai,1000,5300,3,1,3 BHK,Chennai
ECO TREE Mambakkam-Chengalpattu  Chennai,3 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,53,ECO TREE Mambakkam-Chengalpattu  Chennai,1000,5300,3,1,3 BHK,Chennai
SJ Prakaash Lake View Avenue,3 BHK Flat for sale in Manimangalam Chennai,75,Manimangalam Chennai,1250,6000,3,0,3 BHK,Chennai
chandru gardensVasuki Nagar PulianthopeChennai,2 BHK Flat for sale in Pulianthope Chennai,70,chandru gardensVasuki Nagar PulianthopeChennai,852,8210,3,0,2 BHK,Chennai
Shriram Park 63,1 BHK Flat for sale in Perungalathur Chennai,56,Perungalathur Chennai,600,9330,2,1,1 BHK,Chennai
Bk flat mannivakkam Mannivakkam Chennai,2 BHK Flat for sale in Mannivakkam Chennai,29,Bk flat mannivakkam Mannivakkam Chennai,1050,2760,3,0,2 BHK,Chennai
Sevvapet Chennai,3 BHK Independent House for sale in Sevvapet Chennai,65,Sevvapet Chennai,1500,4330,3,0,3 BHK,Chennai
Sevvapet Chennai,3 BHK Independent House for sale in Sevvapet Chennai,65,Sevvapet Chennai,1276,5090,3,1,3 BHK,Chennai
Nova Meridian,2 BHK Flat for sale in Ambattur Industrial Estate Chennai,83,Nolambur Ambattur Industrial EstateChennai,1052,7890,3,1,2 BHK,Chennai
Fomra Hues,2 BHK Flat for sale in Porur Chennai,80,Gandhi Nagar PorurChennai,1122,7130,3,1,2 BHK,Chennai
Vengabakkam Chennai,3 BHK Independent House for sale in Vengabakkam Chennai,85,Vengabakkam Chennai,1650,5150,3,1,3 BHK,Chennai
Hiranandani Parks Apartment,4 BHK Flat for sale in Oragadam Sriperambattur Chennai,115,Oragadam Sriperambattur Chennai,2350,4890,4,1,4 BHK,Chennai
Kottavakkam Chennai,5 BHK Independent House for sale in Kottavakkam Chennai,120,Kottavakkam Chennai,1290,9300,3,0,5 BHK,Chennai
korathurVenkataraman Nagar KoratturChennai,3 BHK Independent House for sale in Korattur Chennai,1500,korathurVenkataraman Nagar KoratturChennai,1850,81080,3,1,3 BHK,Chennai
S and P Living Spaces,1 BHK Flat for sale in Kil Ayanambakkam Chennai,30,Agraharam Kil AyanambakkamChennai,573,5240,2,0,1 BHK,Chennai
Kilapakkam Chennai,2 BHK Flat for sale in Kilapakkam Chennai,145,Kilapakkam Chennai,1265,11460,3,1,2 BHK,Chennai
Madurantakam Chennai,2 BHK Independent House for sale in Madurantakam Chennai,160,Madurantakam Chennai,3919,4080,2,1,2 BHK,Chennai
N treeVayalur Chennai,2 BHK Villa for sale in Vayalur Chennai,34,N treeVayalur Chennai,1100,3090,3,1,2 BHK,Chennai
Blue Coastal Resort Kadalur Chennai,2 BHK Villa for sale in Kadalur Chennai,38,Blue Coastal Resort Kadalur Chennai,1032,3680,3,0,2 BHK,Chennai
Rathinamangalam Rathinamangalam Chennai,4 BHK Independent House for sale in Rathinamangalam Chennai,73,Rathinamangalam Rathinamangalam Chennai,1620,4510,3,1,4 BHK,Chennai
Maruthi enclave Kattur Chennai,2 BHK Flat for sale in Kattur Chennai,45,Maruthi enclave Kattur Chennai,780,5770,2,1,2 BHK,Chennai
Thirukovilur Chennai,2 BHK Independent House for sale in Thirukovilur Chennai,32,Thirukovilur Chennai,725,4410,2,0,2 BHK,Chennai
Arun Excello Compact Homes Sankara by Arun Excello Homes Pvt Ltd,2 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,40,Mambakkam-Chengalpattu  Chennai,870,4600,3,0,2 BHK,Chennai
Nagappa Nagar ChromepetChennai,5 BHK Villa for sale in Chromepet Chennai,475,Nagappa Nagar ChromepetChennai,4200,11310,5,1,5 BHK,Chennai
Poonga Nagar ThiruvallurChennai,3 BHK Independent House for sale in Thiruvallur Chennai,75,Poonga Nagar ThiruvallurChennai,1600,4690,3,0,3 BHK,Chennai
Thiru S Kaviya Gardens Dream Homes,2 BHK Flat for sale in Athipatttu Chennai,46,Athipatttu Chennai,840,5500,3,1,2 BHK,Chennai
ungal kanavu illamMelakottaiyur Chennai,2 BHK Flat for sale in Melakottaiyur Chennai,25,ungal kanavu illamMelakottaiyur Chennai,650,3850,2,1,2 BHK,Chennai
Arun Excello Temple Green Heights,1 RK Flat for sale in Oragadam Sriperambattur Chennai,19,Oragadam Sriperambattur Chennai,575,3300,2,1,1 RK,Chennai
vinyagapurViraraghavapuram AvadiChennai,5+ BHK Independent House for sale in Avadi Chennai,289,vinyagapurViraraghavapuram AvadiChennai,2400,12040,4,1,5+ BHK,Chennai
anotnyPatel Nagar West TambaramChennai,4 BHK Independent House for sale in West Tambaram Chennai,130,anotnyPatel Nagar West TambaramChennai,2000,6500,2,1,4 BHK,Chennai
Adayalampet MaduravoyalChennai,1 BHK Independent House for sale in Maduravoyal Chennai,215,Adayalampet MaduravoyalChennai,2400,8960,4,1,1 BHK,Chennai
Karayanchavadi Chennai,2 BHK Independent House for sale in Karayanchavadi Chennai,120,Karayanchavadi Chennai,1200,10000,3,1,2 BHK,Chennai
Alex flatPonni Nagar MadhanandapuramChennai,1 RK Flat for sale in Madhanandapuram Chennai,27,Alex flatPonni Nagar MadhanandapuramChennai,1500,1800,3,0,1 RK,Chennai
jasmine springsKelambakkam Chennai,Studio Flat for sale in Kelambakkam Chennai,17,jasmine springsKelambakkam Chennai,302,5630,1,1,,Chennai
Thirumudivakkam Chennai,2 BHK Independent House for sale in Thirumudivakkam Chennai,90,Thirumudivakkam Chennai,2000,4500,3,1,2 BHK,Chennai
Vengadamangalam Chennai,4 BHK Independent House for sale in Vengadamangalam Chennai,95,Vengadamangalam Chennai,1800,5280,3,1,4 BHK,Chennai
Madhulika,2 BHK Flat for sale in Oragadam Sriperambattur Chennai,21,Oragadam Sriperambattur Chennai,690,3040,2,0,2 BHK,Chennai
Ennore Chennai,4 BHK Independent House for sale in Ennore Chennai,350,Ennore Chennai,3000,11670,6,1,4 BHK,Chennai
Perumalpet PurasawalkamChennai,3 BHK Villa for sale in Purasawalkam Chennai,500,Perumalpet PurasawalkamChennai,2200,22730,4,1,3 BHK,Chennai
Raman Nagar PeramburChennai,1 BHK Independent House for sale in Perambur Chennai,136,Raman Nagar PeramburChennai,1600,8500,3,1,1 BHK,Chennai
Kelambakkam Chennai,4 BHK Independent House for sale in Kelambakkam Chennai,190,Kelambakkam Chennai,4100,4630,5,1,4 BHK,Chennai
Star GrandeurParthasarathy Puram T NagarChennai,3 BHK Flat for sale in T Nagar Chennai,285,Star GrandeurParthasarathy Puram T NagarChennai,1777,16040,3,1,3 BHK,Chennai
Blue Coastal Resort Kadalur Chennai,2 BHK Villa for sale in Kadalur Chennai,38,Blue Coastal Resort Kadalur Chennai,1032,3680,3,1,2 BHK,Chennai
VGN AVIV Thiruthani Chennai,2 BHK Flat for sale in Thiruthani Chennai,60,VGN AVIV Thiruthani Chennai,1171,5120,3,0,2 BHK,Chennai
L&T Eden Park - Almond,2 BHK Flat for sale in Siruseri Chennai,70,Siruseri Chennai,1200,5830,3,0,2 BHK,Chennai
sbioaMambakkam-Chengalpattu  Chennai,3 BHK Flat for sale in Mambakkam-Chengalpattu  Chennai,70,sbioaMambakkam-Chengalpattu  Chennai,1521,4600,3,0,3 BHK,Chennai
Aakam Courtyard Hygrevar by Aakam Builders,2 BHK Flat for sale in Chettipunyam Chennai,32,Chettipunyam Chennai,919,3480,3,1,2 BHK,Chennai
Anna Nagar ChengalpattuChennai,4 BHK Independent House for sale in Chengalpattu Chennai,100,Anna Nagar ChengalpattuChennai,2400,4170,4,1,4 BHK,Chennai
Kandasamy Nagar PalavakkamChennai,3 BHK Independent House for sale in Palavakkam Chennai,450,Kandasamy Nagar PalavakkamChennai,3010,14950,4,1,3 BHK,Chennai
ambal houseSevlimedu Chennai,2 BHK Flat for sale in Sevlimedu Chennai,42,ambal houseSevlimedu Chennai,1060,3960,3,1,2 BHK,Chennai
Jain Saagarika by Jain Housing & Constructions Ltd,2 BHK Flat for sale in Nallambakkam Chennai,167,Kumizhi NallambakkamChennai,1235,13520,3,0,2 BHK,Chennai
Artha Meadows,2 BHK Villa for sale in Appur R.F. Chennai,55,Appur R.F. Chennai,910,6040,3,0,2 BHK,Chennai
